Section,Instructor,TA,Section_TA,Next,Running,Reachout,Reachout_1,Reachout_2,Running_exam,Exam 1,Exam 2,Exam 3,Exam 4,Polling_1,Polling_2,Polling_3,Polling_4,Polling_5,Polling_6,Polling_7,Polling_8,Polling_9,Polling_10,Polling_11,Polling_12,Polling_13,Polling_14,Polling_15,Polling_16,Polling_17,Polling_18,Polling_19,Polling_20,Polling_21,Polling_22,Polling_23,Polling_24,Polling_25,RQ_1,RQ_2,RQ_3,RQ_4,RQ_5,RQ_6,RQ_7,RQ_8,RQ_9,RQ_10,RQ_11,RQ_12,RQ_13,RQ_14,RQ_15,RQ_16,RQ_17,RQ_18,RQ_19,RQ_20,RQ_21,RQ_22,RQ_23,RQ_24,RQ_25,Grade,Minor,c_running,Below,Compliance,Firstgen,Female
1,1,6,106,0,45.36,1,0,1,47.31333333,45,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.76,1.68,2,2,0,0,0,2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,22.32,1,-26.14,1,1,0,1
2,1,6,206,0,36,1,0,1,42,45,42,0,0,0,2,2,1.43,2,2,0,2,2,2,0,1.78,2,0,0,1.6,2,0,0,0,0,0,0,0,0,0,0,1.2,0,1,0,0,0.8,1.75,0,0,1.2,0,0,0,1.8,0,0,0,0,0,0,0,0,0,23.43,0,-35.5,1,1,0,0
1,1,36,136,46,32.15,1,0,1,30,35,30,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,23.97,0,-39.35,1,1,0,1
2,1,31,231,0,51.26,1,0,1,14,34,14,0,0,1.67,0,1.67,0,0,2,0,0,2,1.33,2,2,0,0,0.4,0,0,0,1.71,0,0,0,0,0,0,2,2,2,1.75,2,2,1.75,0,2,2,2,2,2,2,2,1.8,2,2,2,1.8,2,0,2,2,0,28.05,0,-20.24,1,1,0,0
1,1,5,105,0,58.69,1,0,1,64.48666667,61,0,0,0,0,1.5,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,1.75,2,0,2,1.6,1.5,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,0,-12.81,1,1,1,0
3,2,3,303,40,57,1,1,0,52,52,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.75,2,2,1.8,2,2,1.75,1.8,0,0,1.82,0,2,2,2,2,2,1.75,2,1.8,0,0,0,0,0,33.01,0,-14.5,1,1,0,1
2,2,12,212,0,56.19,1,1,0,42,42,0,0,0,2,1.6,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1.75,1.75,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,33.28,1,-15.31,1,1,0,1
2,2,37,237,32,48.99,1,1,0,40,40,32,0,0,2,2,0.4,2,0.67,0,2,2,0,0.5,0.5,0.5,2,2,0.4,0,0,0,0,0,0,0,0,0,0,1.78,1.75,2,1.84,2,0,1.75,2,2,2,2,2,2,2,0,0,0,2,0,2,0,0,0,0,0,35.21,1,-22.51,1,1,0,1
2,1,28,228,53,56.87,1,0,1,71.54901961,74,0,53,0,1.67,2,2,0,2,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1.12,0,0,0.5,1.5,1.46,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.25,0,0,0,36.13,0,-14.63,1,1,0,0
3,2,31,331,15,48,1,1,0,40,40,15,37,26,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1.84,1.8,0,2,2,2,1.75,2,0,2,2,0,0,1.8,0,0,0,1.8,0,1.8,0,1.34,0,36.54,0,-23.5,1,1,0,0
1,1,28,128,48,39.7,1,0,1,41,0,41,48,0,1.2,0,0,0,2,0,0,0,0,0,0,0,0,0,1.33,1.5,2,0,0,0,2,2,1.33,0,0,2,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.5,1.4,0,36.64,0,-31.8,1,1,1,1
2,1,18,218,37,38.61,1,0,1,16.96078431,26,0,37,52,0,0,0,0,1,1.25,0,0,1.25,1.67,0,0.22,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,1.46,2,1.8,0,0,1.82,0,0,2,2,1.8,2,2,0,1.8,0,1.75,0,2,0,36.66,0,-32.89,1,1,0,0
1,1,31,131,0,59.76,1,0,1,38,57,38,0,0,0.8,1.33,0,0,2,0,0,1.6,1.6,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,1.68,0,0,1.75,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,1,-11.74,1,1,1,0
3,2,18,318,23,42,1,1,0,22,22,23,10,0,0,0,0,0,2,0.33,0,0,0,2,0.67,0.67,0,0,2,2,0,0,2,0.57,1.5,0.67,0,0,0,0,0,2,2,2,2,1.75,1.8,2,1.8,2,2,2,2,1.8,1.6,2,1.75,2,1.8,2,1.6,2,2,2,37.45,0,-29.5,1,1,0,1
2,2,23,223,18,54.3,1,1,0,38,38,18,14,0,2,0,0,0,2,0,2,2,2,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1.75,2,1.84,2,2,0,2,2,2,2,0,2,1.8,2,2,2,2,2,2,2,1.6,2,0,2,37.57,0,-17.2,1,1,0,1
2,1,8,208,0,62.51,1,0,1,49,58,49,0,0,1.67,2,2,1.43,2,0.5,0.5,0.4,0.5,2,0,1.33,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2,2,1.6,2,1.75,1.82,1.25,1,1.25,1.6,1.28,1.8,2,0,1.6,0,2,2,2,2,0,0,0,0,0,38.08,0,-8.99,1,1,0,0
2,2,23,223,45,46.22,1,1,0,47,47,45,35,0,2,0,2,2,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,1.12,0,2,0,0,1.5,0,0,1.8,2,1.2,1.82,0,0,2,0,0,0,0,0,0,0,0,0,1.7,39.02,0,-25.28,1,1,1,1
2,2,16,216,31,58.54,1,1,0,42,42,31,0,0,2,2,0,2,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1.5,2,1.84,2,1.75,0,2,2,2,1.6,2,2,2,2,2,2,2,1.75,0,0,0,0,0,0,39.12,0,-12.96,1,1,0,0
3,2,27,327,31,33,1,1,0,45.60465116,0,31,73,0,1.33,0,2,1.78,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.75,2,1.52,1.8,0,2,0,1.8,1.75,1.6,0,2,2,2,2,1.8,2,0,2,0,2,0,2,0,0,39.23,0,-38.5,1,1,0,1
2,1,31,231,46,67.64,1,0,1,42,49,42,46,0,2,1.5,1.67,2,2,2,1.5,2,2,2,1.33,1.78,0,2,1.2,2,0,0,0,0,0,0,0,0,0,2,1.52,1.8,2,2,2,1.75,2,2,1.8,1.82,2,2,2,2,1.8,2,0,2,1.8,2,0,0,0,0,40.57,0,-3.86,1,1,0,0
3,2,27,327,36,55,1,1,0,31,31,36,0,0,2,2,2,1.11,2,2,2,1.5,2,2,0,2,0,1,0,2,2,0,0,0,0,2,2,2,2,1,1.78,1.52,1.8,1.75,1.82,1.25,1.6,0,2,0,2,0,0,2,1.8,0,0,0,0,0,2,2,1.56,0,41.95,0,-16.5,1,1,0,1
2,1,32,232,47,43.8,1,0,1,23,0,23,47,31,0,0,1.33,2,0,2,2,1.6,2,0,2,1.78,2,0,2,2,0,0,0,2,0,2,0,2,2,0,0,0,2,1.25,1.8,1.75,2,2,1.8,2,2,2,2,0,1.8,1.8,0,0,0,2,1.5,2,2,2,42.97,0,-27.7,1,1,0,0
2,1,25,225,0,73.56,0,0,0,40,51,40,0,0,2,2,2,0,2,0,0,0,0,2,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,2,2,1.8,2,2,2,1.75,2,2,2,1.82,2,2,2,2,2,2,2,2,1.8,2,0,0,0,0,43.56,0,2.06,0,1,0,1
2,2,35,235,86,59.96,1,1,0,79,79,86,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1.8,0,1.8,0,2,1.8,2,2,1.5,1.8,0,0,1.8,0,0,44.17,0,-11.54,1,1,0,1
1,1,35,135,50,67.51,1,0,1,16,66,16,50,0,1.6,0,2,2,1.6,0,2,0,0,2,0,0,2,0,1.33,1.5,0,1.2,2,0,2,2,0,0,0,1,2,0,0,2,0,1.5,1.64,0,2,0,0,2,1.2,1.8,2,0,2,0,0,2,0,1.75,0,0,44.73,0,-3.99,1,1,0,0
2,1,6,206,69,54.8,1,0,1,59,51,59,69,0,0,0,0,0,2,1.5,1,2,1.75,1.33,0,2,2,1,0,2,0,2,1.71,0,0,0,0,0,0,1.34,0,0,0,0,2,2,1.2,2,0,1.64,0,0,2,2,1.6,0,0,1,0,0,2,0,0.6,0.8,45.58,0,-16.7,1,1,0,1
2,1,18,218,0,63.78,1,0,1,56,58,56,0,0,1.67,2,1.67,1.71,0,2,0,0,1.75,0,0,2,2,1,2,0.4,2,2,2,2,0,1.33,2,0,0,2,2,0,2,2,2,2,0,0,1.6,1.82,0,2,2,2,2,2,2,2,1.8,2,1.75,2,0,0,46.57,0,-7.72,1,1,0,1
1,1,38,138,0,89.66,0,0,0,96.68666667,91,0,0,0,2,2,2,2,2,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.78,1.78,1.84,2,2,1.25,1.46,1.8,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,18.16,0,1,0,0
2,2,16,216,31,55.99,1,1,0,39,39,31,39,0,2,2,0,0,0,0,0,2,0.44,0.5,0.5,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1.78,2,2,2,2,1.75,1.75,2,2,2,1.6,2,2,2,2,2,1.8,2,1.75,2,2,1.6,2,1.75,2,48.17,1,-15.51,1,1,0,1
1,1,9,109,76,48.84,1,0,1,69.85333333,66,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,1.6,0,1.8,0,0,0,0,0,0,0,1.8,1.8,48.56,0,-22.66,1,1,0,1
2,2,21,221,33,56.35,1,1,0,40,40,33,29,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1.84,2,1.75,1.5,2,2,1.75,1.8,2,1.6,2,2,2,0,2,2,2,1.78,0,1.8,1.75,2,48.9,0,-15.15,1,1,0,1
2,1,6,206,29,57.77,1,0,1,27,36,27,29,31,0,1.5,1.33,0,2,2,1,2,1.75,2,0,0.44,0,1,1.6,1.2,1.43,2,1.71,2,2,1.67,2,0,0,2,1.52,1.6,2,2,2,0,2,0,2,2,2,0,2,1.6,1.8,2,2,2,0,0,1.5,2,0,0,49.17,0,-13.73,1,1,0,1
2,2,35,235,69,73.99,0,0,0,71,71,69,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,2,1.56,1.84,1.75,0,2,1.82,2,0,1.8,1.64,2,1.6,2,1.6,0,2,1.25,1.8,0,1.6,1.6,1.75,0,50.43,1,2.49,0,1,0,0
2,2,19,219,5,64.42,1,1,0,54,54,5,0,52,2,2,2,2,2,2,0,2,0,0,2,2,2,2,1.6,0,2,0,2,2,2,0,0,2,2,2,1.75,2,2,2,2,2,1.82,1.8,2,0,2,2,2,2,2,1.8,0,0,2,2,0,2,2,2,51.02,1,-7.08,1,1,0,1
3,2,1,301,17,50,1,1,0,45,45,17,56,40,1.33,0,2,2,2,2,0,0.5,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,1,0,1.68,2,2,2,0,2,0,0,2,2,2,2,2,2,2,1.75,2,2,2,2,2,2,0,51.48,0,-21.5,1,1,0,0
2,1,32,232,0,68.64,1,0,1,42,6,42,0,59,1,2,1.67,2,0,0.5,2,2,2,1,2,1.56,2,2,0.8,2,1.71,0,0,0,0,0,2,0,0,2,1.12,1.2,2,1.75,1.82,1.75,1.2,2,1.8,1.82,2,2,1.6,1.4,0,1.2,0,0,0,0,0,2,0,0,52.04,0,-2.86,1,1,0,1
2,2,19,219,40,58.21,1,1,0,46,46,40,0,0,2,2,0,2,2,2,2,2,1.78,1,0,2,0.67,2,2,2,2,1.6,0,1.67,2,0,0,0,0,0,1.75,2,1.48,2,1.75,1,2,2,1.75,1.8,1.82,2,2,2,2,2,2,1.75,2,1.76,0,2,1.75,2,52.52,0,-13.29,1,1,1,1
2,1,1,201,45,60.34,1,0,1,22,19,22,45,0,1,2,1.67,2,2,2,2,2,1.75,2,1.33,1.78,1.5,0,2,0.4,0,1.5,1.71,2,0,0,0,0.4,0,2,1.84,2,2,2,0,2,1.8,2,1.6,2,2,2,2,2,0,2,1.75,2,1.8,2,0,2,2,2,52.98,1,-11.16,1,1,0,1
2,1,31,231,69,56.38,1,0,1,38.56862745,45,0,69,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1.75,1.8,2,2,2,1.8,2,1.8,2,1.8,2,0,0,2,0,1.75,2,2,1.8,53.24,0,-15.12,1,1,0,0
3,2,31,331,42,62,1,1,0,53,53,42,58,0,0,0.8,0,0.89,0,0.33,2,2,2,2,1.33,0,0,0,1.6,2,2,2,1.5,0,0,0,2,0,0,1.75,2,2,2,0,0,1.75,1.8,2,2,2,2,2,0.4,2,1.8,2,1.75,2,1.8,0.25,2,2,0,0,53.26,0,-9.5,1,1,0,0
2,1,1,201,17,64.37,1,0,1,25,0,25,17,25,2,2,2,2,2,1.75,2,2,1.25,2,1.33,1.78,2,1.5,0.8,1.6,1.71,2,1.43,0,2,1,2,2,2,2,2,1.8,1.75,2,2,2,2,2,2,2,2,2,2,2,1.8,2,2,2,1.8,2,0,2,2,0.8,54.47,0,-7.13,1,1,0,1
2,1,8,208,23,60.03,1,0,1,46,44,46,23,34,0,0,1.67,1.14,0,2,0,2,1.5,1.67,2,1.78,1.5,1.5,1.2,1.6,1.71,1,0.86,2,2,0,2,2,2,0.68,1.32,1,1.5,1.75,0.92,1,1.6,0.5,1,1.44,1,1.6,1.4,1,1.2,1.4,1,1.8,1.2,1.2,1.25,1.7,1.7,1.6,54.49,0,-11.47,1,1,0,1
3,2,31,331,0,53,1,1,0,39,39,0,43,52,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,0,1.75,0,2,1.8,2,2,1.5,2,1.75,0,0,2,2,1.8,1.8,1.8,2,1.75,1.8,1.4,2,2,2,2,2,55.14,1,-18.5,1,1,1,1
1,1,4,104,0,81.85,0,0,0,71,85,71,0,0,2,2,2,0,0,0,2,0,2,2,0,0.67,0,0,0,0,0,0,2,2,0,2,2,2,2,1.32,1.78,1.78,0,0,2,1.5,1.64,1.4,1.25,0,0,1.2,0,0,0,0,0,0,0,1.78,1.6,2,1.6,1.6,55.19,0,10.35,0,1,1,1
3,2,8,308,0,76,0,0,0,79,79,0,38,71,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.52,1.8,1.25,2,2,0,0,0,1.82,2,0,0,2,1.8,0,0,0,1.8,2,0,1.8,0,0,55.38,0,4.5,0,1,1,0
2,1,32,232,28,60,1,0,1,17,25,17,28,55,2,1.5,0,2,2,2,1.5,2,2,0,2,2,0,0,0,0,0,2,0,2,0,1.67,2,1.6,2,2,2,2,2,1.75,2,2,2,2,0,1.82,2,2,0,2,1.8,2,2,0,0,2,1.75,2,2,2,55.45,1,-11.5,1,1,0,1
2,1,20,220,41,64.5,1,0,1,15,30,15,41,26,2,0.5,2,2,2,2,2,1.2,2,1.67,2,2,2,0,0.8,2,1.71,2,0,0,2,2,2,0,2,2,0,2,2,2,0,2,2,2,0,1.82,2,2,2,2,2,2,2,0,0,2,1.75,0,2,1.8,56.52,0,-7,1,1,0,0
2,1,20,220,69,76.42,0,0,0,69,0,69,69,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0.57,2,0,0.33,0,0,0,0,0.16,2,0,2,2,0,2,2,1.8,2,2,2,2,2,2,2,2,2,1.8,0,1.25,2,0,2,57.49,0,4.92,0,1,1,0
2,2,35,235,37,62.8,1,1,0,56,56,37,67,0,2,1.2,2,2,2,0,2,2,2,1.5,2,2,0,0,1.2,2,2,0,1.25,2,1.5,0,0,0,0,1.34,1.75,1.56,0,0,1,1.75,0,2,0,0,2,0,2,2,0,1.8,2,1.75,0,2,0,0,0,2,57.68,0,-8.7,1,1,1,0
1,1,13,113,0,80.71,0,0,0,66.63333333,63,0,0,0,2,1.5,2,2,0,0,2,2,1.6,2,1.78,2,2,2,0.67,2,2,1.2,2,1.71,1,1.5,1.33,1.33,0,0,2,2,2,1.75,0,2,2,2,2,0,1.82,1.8,2,2,2,2,0,0,0,0,2,1.5,2,2,57.69,0,9.21,0,1,0,0
2,2,19,219,52,62.46,1,1,0,42,42,52,49,25,2,2,2,2,2,0.5,0,2,0,2,0,1.5,0,0,2,0,0.67,0,2,1.67,2,0,0,0,0,0,2,1.78,2,2,2,1.75,2,2,2,2,1.82,2,0,2,2,2,2,2,1.4,1.76,0,0,1.75,2,58.08,1,-9.04,1,1,0,1
2,2,33,233,41,58.84,1,1,0,55,55,41,42,41,2,0.4,2,0,1.33,0,0.33,0,0.22,0.5,0.5,0,0.67,2,0,0,0,0,0,0,0,0,0,0,0,2,1.5,2,0,2,2,0,2,2,2,2,1.82,2,2,2,2,1.8,2,2,0,1.76,0,0,0,0,58.09,0,-12.66,1,1,1,1
2,1,25,225,28,59.59,1,0,1,24,32,24,28,59,1.67,1.75,2,1.43,0,2,0,2,0.25,0.67,0,0,0,1,0.8,0,0,0,0,0,2,0,0,0,0,0,2,2,2,1.5,2,0,2,0,2,2,2,2,1.8,0,1.8,0,1.75,2,2,2,1.75,0,0,2,58.69,0,-11.91,1,1,0,1
2,1,8,208,37,71.38,1,0,1,28,41,28,37,34,2,2,0.67,2,2,2,1,2,2,2,0,1.56,1.5,0.5,1.6,1.6,0.29,0,2,2,0,0,0,0.8,0,2,2,2,2,2,0,1.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,58.88,0,-0.12,1,1,0,0
2,2,17,217,34,52.33,1,1,0,30,30,34,30,39,2,0,0.8,1,2,2,2,0,2,2,2,0,0,2,0,0,1.33,0.8,0.5,0.67,1,1.33,2,0,0,1.12,1,1.78,1.36,2,0,1.5,2,1.8,2,1.4,1.82,1.8,2,2,1.8,2,1.8,1.5,1.6,2,0.4,1.6,2,1.7,59.09,0,-19.17,1,1,0,1
3,2,27,327,24,34,1,1,0,54,54,24,68,57,2,0,0,0.22,0,0,0,0.75,0,0,1.33,1.67,2,2,2,2,2,2,2,1.43,2,2,1.6,2,0.67,0,0,0,0,0,0,0,0,2,2,2,1.8,2,2,2,1.8,0,0,2,1.8,2,0,2,2,0,59.25,1,-37.5,1,1,0,1
2,1,31,231,28,64.41,1,0,1,28,25,28,28,37,1.67,1.75,2,1.71,2,0,1.5,1.6,1.25,1.67,1.33,1.33,1,1,2,1.2,1.71,1,1.14,1,0,1,0,2,0,2,2,1.8,1.75,1.75,2,0,2,1.5,1.6,1.82,2,2,1.6,1.8,2,2,1.75,1.8,1.8,2,1.5,2,2,2,59.51,0,-7.09,1,1,0,1
3,2,8,308,16,56,1,1,0,32,32,16,21,34,2,2,2,2,0.67,2,2,2,2,2,2,1.67,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,1.78,0,2,2,2,1.5,2,1.5,1.4,1.82,1.8,2,2,2,1.6,2,1.75,2,1.8,1.75,1.8,2,2,1.6,59.55,1,-15.5,1,1,0,1
3,2,31,331,40,59,1,1,0,43,43,40,0,62,2,2,2,1.78,2,2,2,2,2,1,2,2,2,2,1.2,2,2,1.33,2,2,0,2,2,2,0,1.5,1.12,2,1.6,1.75,1.82,1.5,1.6,1.75,1.4,1.64,1.8,2,1.6,1.8,1.8,2,1,1.6,1.8,2,1.4,1.6,1.48,1.6,60.09,1,-12.5,1,1,0,0
2,1,6,206,46,66.83,1,0,1,19,39,19,46,26,2,1.25,2,1.14,2,2,1,2,0,2,0,2,2,2,0,0,0,1,2,2,2,0.67,2,1.2,1,2,2,1.8,2,2,2,1.75,2,2,1.6,1.82,2,2,2,2,1.8,1.8,2,2,1.8,2,1.5,2,2,2,60.32,0,-4.67,1,1,0,1
2,2,10,210,41,52.41,1,1,0,31,31,41,65,0,2,1.2,2,2,1.67,2,2,2,1.78,0,2,2,2,2,2,0.4,0.67,2,2,2,2,0.67,0,0,0,1.12,0.5,2,0,2,1.75,1.5,2,2,1.75,0,2,2,2,2,2,2,2,1.75,2,2,1.6,1.6,1.75,0,60.71,0,-19.09,1,1,1,0
3,2,3,303,35,65,1,1,0,67,67,35,53,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1.52,1.8,2,2,0,0,2,1.8,1.82,2,0,0,0,2,2,1.75,0,1.8,0,0,2,0,0,61.12,0,-6.5,1,1,0,1
1,1,34,134,47,53.69,1,0,1,36.58,35,0,47,54,0.8,0,2,1.75,0.8,0,2,0.8,0,0,0,1.33,0.86,0,0,0,0,1.6,2,0,1,1.5,1.33,0,0,2,1.78,2,1.84,0,1.75,0,1.82,0,2,0,2,0,2,2,0,1.8,2,2,2,2,2,0,2,0,61.18,0,-17.81,1,1,1,1
3,2,8,308,24,62,1,1,0,59,59,24,47,68,2,2,0,0,2,1.67,2,0.75,2,0,0,2,2,2,1.6,2,0,0,0,0,0,0,0,0,0,1.75,2,1.84,2,1.5,1.64,0,2,0,1.6,1.82,1.8,2,2,2,2,0,0,2,0,2,0,0,0,0,61.31,0,-9.5,1,1,1,1
3,2,8,308,28,61,1,1,0,40,40,28,61,42,1.33,1.2,0,0.67,0,0,2,0,0,0,0,1,0,0,0,2,0,0.33,0.5,0.29,0.5,0,0,0,0,2,2,1.84,1.8,2,2,1.75,0,2,0,2,2,2,2,2,2,1.8,1.75,2,1.8,2,2,1.8,0,1.8,61.34,1,-10.5,1,1,0,0
2,1,25,225,45,60.09,1,0,1,40,46,40,45,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1.8,2,1.5,2,2,2,61.44,0,-11.41,1,1,0,1
2,1,28,228,51,64.35,1,0,1,47,53,47,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.68,1.8,2,1.75,2,0,2,2,2,1.82,0,0,0,2,1.8,2,0,2,1.8,2,1.75,2,2,2,61.65,0,-7.15,1,1,0,1
1,1,38,138,70,69.85,1,0,1,60.19333333,57,0,70,58,2,0,2,0,2,2,1.33,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,2,0.5,0,2,0,0,1.2,0,2,1.2,2,1,0,0,0,2,0,1.8,0,2,0,61.66,0,-1.65,1,1,1,1
